fold,group_id,n_test,roc_auc,ap
0,1_13,8717,0.999745457025151,0.9992094268567175
1,1_14,7223,0.9915904758018743,0.9897080135127972
2,1_23,8192,0.7118895068361712,0.746254626685156
3,1_28,7916,0.9841840195891006,0.9694502550801413
4,1_29,4549,0.8402613701309797,0.36612322172845957
5,1_34,9610,0.6507804137512619,0.7004223544952385
6,1_35,8019,0.9969685226723352,0.9890764914133281
7,1_45,6885,0.9681207976338174,0.8784835078822746
8,1_50,8871,0.6786454896468042,0.27202937459780807
9,2_02,4727,0.9844165764825358,0.9884041506655364
10,2_14,8616,0.9993096676233013,0.9987351922651244
11,2_18,9770,0.9793958620149543,0.9819238078873026
12,2_19,5219,0.9964596333863157,0.9839869041803163
13,2_42,4823,0.9947090864847037,0.9709018870654923
