rank,fisher_wl,fisher_score,cohens_wl,cohens_d,abs_diff_wl,abs_mean_diff
1,747.540000,3.631054,756.560000,2.687740,726.530000,0.370448
2,744.530000,3.623453,759.560000,2.674339,729.530000,0.369973
3,750.540000,3.609904,753.550000,2.664565,723.530000,0.368191
4,741.530000,3.603902,750.540000,2.664408,732.530000,0.367101
5,756.560000,3.599577,747.540000,2.659721,735.530000,0.363435
6,753.550000,3.581847,744.530000,2.642945,720.540000,0.362068
7,738.530000,3.576371,741.530000,2.619391,738.530000,0.359522
8,735.530000,3.537738,738.530000,2.593122,741.530000,0.356108
9,759.560000,3.533882,771.610000,2.588801,717.540000,0.355419
10,732.530000,3.440487,768.600000,2.585053,744.530000,0.353409
11,729.530000,3.320591,762.570000,2.577635,747.540000,0.350907
12,762.570000,3.303921,774.620000,2.570949,750.540000,0.348167
13,768.600000,3.272944,735.530000,2.560416,714.550000,0.346793
14,771.610000,3.249801,765.580000,2.554887,753.550000,0.345414
15,765.580000,3.239452,777.640000,2.547004,756.560000,0.343228
16,774.620000,3.185407,780.650000,2.529098,759.560000,0.340541
17,726.530000,3.167652,783.670000,2.513640,762.570000,0.334340
18,777.640000,3.111350,732.530000,2.504721,711.560000,0.333840
19,780.650000,3.051012,786.680000,2.501977,765.580000,0.330151
20,783.670000,2.997958,789.700000,2.485605,768.600000,0.329593
21,723.530000,2.981244,792.720000,2.467381,771.610000,0.327953
22,786.680000,2.953054,795.740000,2.445662,774.620000,0.325448
23,789.700000,2.901734,729.530000,2.440944,777.640000,0.322739
24,792.720000,2.848703,798.770000,2.425125,780.650000,0.320101
25,795.740000,2.789562,801.790000,2.404964,783.670000,0.317799
26,798.770000,2.734459,804.810000,2.392282,708.570000,0.317656
27,720.540000,2.707261,807.840000,2.377910,786.680000,0.315630
28,801.790000,2.682454,726.530000,2.366281,789.700000,0.313438
29,804.810000,2.644103,810.860000,2.359098,792.720000,0.310940
30,807.840000,2.602605,813.890000,2.333360,795.740000,0.308799
