wavelength,healthy_mean,healthy_std,healthy_median,healthy_min,healthy_max,cracked_mean,cracked_std,cracked_median,cracked_min,cracked_max,n_healthy,n_cracked,abs_mean_diff,cohens_d,fisher_score,relative_diff_pct
397.320000,0.422097,0.149500,0.400000,0.181818,4.029412,0.367286,0.123225,0.360000,0.078947,1.000000,69618,24548,0.054811,0.382981,0.080038,13.886940
400.200000,0.332838,0.142093,0.300000,0.130841,4.959184,0.277992,0.106582,0.279412,0.066667,1.052632,69618,24548,0.054846,0.410069,0.095342,17.957816
403.090000,0.282197,0.141030,0.252874,0.103448,5.461538,0.228368,0.098654,0.218182,0.049383,1.104167,69618,24548,0.053829,0.409944,0.097817,21.086066
405.970000,0.258565,0.140547,0.226667,0.087209,5.855263,0.205281,0.094486,0.200000,0.051546,1.160714,69618,24548,0.053284,0.409499,0.098992,22.974985
408.850000,0.240443,0.141044,0.209302,0.080000,6.193182,0.187924,0.092123,0.176000,0.044643,1.190476,69618,24548,0.052519,0.403754,0.097189,24.520517
411.740000,0.224320,0.139681,0.191489,0.073593,6.455446,0.172556,0.088722,0.164948,0.038760,1.180556,69618,24548,0.051764,0.403271,0.097857,26.085842
414.630000,0.211840,0.139075,0.180000,0.063636,6.666666,0.160876,0.086170,0.150000,0.034483,1.185185,69618,24548,0.050963,0.399969,0.097032,27.347099
417.520000,0.204566,0.138635,0.172840,0.061372,6.862903,0.154139,0.084949,0.142045,0.037975,1.172414,69618,24548,0.050427,0.397533,0.096188,28.115899
420.400000,0.197766,0.137482,0.168539,0.057143,7.157895,0.148065,0.083298,0.136364,0.029762,1.138298,69618,24548,0.049701,0.395619,0.095598,28.743107
423.290000,0.191239,0.136648,0.160883,0.056782,7.319445,0.142363,0.081609,0.130000,0.032967,1.108911,69618,24548,0.048876,0.392063,0.094301,29.302218
426.190000,0.186604,0.135701,0.157143,0.051360,7.522876,0.138428,0.080601,0.125654,0.031250,1.102804,69618,24548,0.048176,0.389377,0.093166,29.643553
429.080000,0.183710,0.134680,0.153846,0.053254,7.734177,0.136263,0.079629,0.123853,0.025641,1.109091,69618,24548,0.047447,0.386590,0.091963,29.656758
431.970000,0.180004,0.133645,0.152174,0.050562,7.873494,0.133480,0.078179,0.122449,0.024510,1.102564,69618,24548,0.046524,0.382448,0.090289,29.681964
434.870000,0.169556,0.132785,0.142045,0.046341,8.062176,0.124276,0.076629,0.112033,0.029787,1.111940,69618,24548,0.045280,0.375171,0.087230,30.820122
437.760000,0.163189,0.132209,0.136531,0.043764,8.193548,0.118205,0.075819,0.105991,0.026616,1.106667,69618,24548,0.044984,0.374589,0.087117,31.971962
440.660000,0.159194,0.131332,0.131915,0.040733,8.327660,0.114254,0.074802,0.100719,0.024735,1.104294,69618,24548,0.044940,0.376985,0.088408,32.868780
443.560000,0.155191,0.130597,0.127962,0.037244,8.407692,0.109904,0.073963,0.097143,0.024876,1.103448,69618,24548,0.045287,0.382256,0.091044,34.166423
446.450000,0.152575,0.130414,0.125356,0.037801,8.512367,0.106616,0.073348,0.093695,0.021084,1.106628,69618,24548,0.045959,0.388752,0.094349,35.463656
449.350000,0.150792,0.129920,0.123731,0.038278,8.524430,0.103700,0.072682,0.090047,0.022346,1.101604,69618,24548,0.047092,0.400059,0.100066,37.008553
452.250000,0.149360,0.129900,0.122807,0.036036,8.659574,0.101219,0.072362,0.087500,0.020997,1.110276,69618,24548,0.048141,0.409206,0.104818,38.423775
455.160000,0.149119,0.129500,0.122605,0.034833,8.708455,0.100122,0.072000,0.086957,0.019231,1.113527,69618,24548,0.048997,0.417846,0.109349,39.316686
458.060000,0.148222,0.129448,0.121212,0.033457,8.852367,0.098808,0.071812,0.085185,0.021978,1.109049,69618,24548,0.049415,0.421672,0.111428,40.007102
460.960000,0.146976,0.129412,0.119403,0.034713,8.976128,0.097452,0.071411,0.083969,0.018779,1.108648,69618,24548,0.049524,0.422944,0.112265,40.522476
463.870000,0.145897,0.128939,0.118467,0.034839,9.058524,0.096539,0.071315,0.083538,0.020270,1.117773,69618,24548,0.049358,0.422979,0.112213,40.718671
466.770000,0.145437,0.128358,0.117958,0.034483,8.942500,0.096190,0.071222,0.083045,0.019934,1.116525,69618,24548,0.049248,0.423806,0.112553,40.763436
469.680000,0.144515,0.127577,0.117166,0.032622,8.750611,0.095697,0.070899,0.081827,0.019481,1.120332,69618,24548,0.048818,0.422618,0.111874,40.645858
472.590000,0.142939,0.126647,0.115987,0.033708,8.567059,0.094599,0.070600,0.080630,0.018809,1.132265,69618,24548,0.048340,0.421421,0.111147,40.700737
475.500000,0.141474,0.125848,0.114352,0.032609,8.406321,0.093718,0.070460,0.080569,0.018072,1.125241,69618,24548,0.047756,0.418795,0.109634,40.610152
478.410000,0.140088,0.124698,0.113043,0.031496,8.088552,0.092723,0.070277,0.079086,0.014535,1.129630,69618,24548,0.047365,0.418923,0.109499,40.689733
481.320000,0.138788,0.123187,0.111979,0.030612,7.734990,0.092022,0.070005,0.078603,0.016760,1.128114,69618,24548,0.046767,0.418348,0.108943,40.523927
484.230000,0.138428,0.122473,0.112040,0.030612,7.661885,0.091960,0.070098,0.078330,0.016620,1.118375,69618,24548,0.046468,0.417799,0.108436,40.339312
487.140000,0.139037,0.122027,0.112500,0.031903,7.704167,0.092700,0.069749,0.078947,0.016854,1.116697,69618,24548,0.046338,0.418202,0.108687,39.991514
490.060000,0.138535,0.121294,0.111969,0.030120,7.501006,0.091981,0.069252,0.078431,0.016304,1.117851,69618,24548,0.046553,0.422738,0.111093,40.390531
492.970000,0.138136,0.120107,0.111905,0.028653,7.096408,0.090883,0.069039,0.077143,0.017949,1.113821,69618,24548,0.047253,0.433026,0.116341,41.265138
495.890000,0.138590,0.119511,0.111888,0.027701,6.842391,0.090261,0.068830,0.076364,0.017284,1.096875,69618,24548,0.048329,0.445005,0.122798,42.236089
498.800000,0.139891,0.118989,0.113253,0.029973,6.681979,0.090011,0.068616,0.076294,0.016867,1.086890,69618,24548,0.049880,0.461240,0.131874,43.392427
501.720000,0.142035,0.118878,0.115001,0.027322,6.621716,0.090372,0.068420,0.076628,0.016746,1.090634,69618,24548,0.051663,0.478272,0.141871,44.459226
504.640000,0.144119,0.118722,0.116402,0.029412,6.465870,0.090293,0.068076,0.076661,0.017744,1.085420,69618,24548,0.053827,0.499152,0.154695,45.924936
507.560000,0.146138,0.118271,0.118156,0.031088,6.205546,0.089883,0.067835,0.075521,0.017115,1.059238,69618,24548,0.056255,0.523644,0.170235,47.669280
510.480000,0.148255,0.117615,0.119643,0.030075,5.987461,0.089669,0.067514,0.075188,0.016568,1.051630,69618,24548,0.058585,0.548331,0.186621,49.247051
513.400000,0.150757,0.117238,0.121402,0.029630,5.848392,0.089786,0.067224,0.075188,0.016298,1.038564,69618,24548,0.060970,0.572553,0.203538,50.693894
516.330000,0.153465,0.116955,0.123239,0.029851,5.815267,0.090257,0.066851,0.075710,0.016451,1.024000,69618,24548,0.063208,0.595194,0.220151,51.868661
